food_item,calories,protein,carbs,fats,saturated_fat,fiber,category,type
Flat White (L),251.47,12.08,22.22,14.02,10.31,1.0,McCAFE MENU,veg
Mocha (S),185.85,7.15,22.59,8.2,5.94,1.0,McCAFE MENU,veg
Mocha (R),244.0,8.99,31.72,9.91,7.17,1.0,McCAFE MENU,veg
Mocha (L),302.02,10.88,40.04,12.01,8.67,1.0,McCAFE MENU,veg
Babycino,143.5,3.87,22.85,4.38,3.08,1.0,McCAFE MENU,veg
Hot Chocolate (S),239.42,6.73,37.08,7.77,5.49,1.0,McCAFE MENU,veg
Hot Chocolate (R),296.81,7.7,48.41,8.76,6.13,1.0,McCAFE MENU,veg
Hot Chocolate (L),383.29,11.01,58.43,12.84,9.09,1.0,McCAFE MENU,veg
Premium Dark Hot Chocolate,214.21,6.15,33.04,5.96,4.27,1.0,McCAFE MENU,veg
Double Dark Hot Chocolate,255.78,6.87,41.29,6.32,4.49,2.0,McCAFE MENU,veg
English Breakfast (S),9.93,0.56,0.28,0.28,0.28,0.0,McCAFE MENU,veg
English Breakfast (R),11.75,0.66,0.33,0.33,0.33,0.0,McCAFE MENU,veg
English Breakfast (L),16.23,0.91,0.46,0.46,0.46,0.0,McCAFE MENU,veg
Moroccon Mint Green Tea (S),6.25,0.33,2.79,0.28,0.28,0.0,McCAFE MENU,veg
Moroccon Mint Green Tea (R),7.39,0.4,3.3,0.33,0.33,0.0,McCAFE MENU,veg
Moroccon Mint Green Tea (L),10.21,0.55,4.56,0.46,0.46,0.0,McCAFE MENU,veg
Strawberry Green Tea (S),7.03,0.47,2.79,0.28,0.28,0.0,McCAFE MENU,veg
Strawberry Green Tea (R),8.32,0.56,3.3,0.33,0.33,0.0,McCAFE MENU,veg
Strawberry Green Tea (L),11.49,0.78,4.56,0.46,0.46,0.0,McCAFE MENU,veg
Lemon Ice Tea,121.86,0.27,30.59,0.17,0.17,0.0,McCAFE MENU,veg
Strawberry Ice Tea,94.95,0.24,24.17,0.16,0.16,0.0,McCAFE MENU,veg
Green Apple Ice Tea,94.94,0.24,24.17,0.16,0.16,0.0,McCAFE MENU,veg
Iced Coffee,185.34,4.36,31.88,4.45,3.26,1.0,McCAFE MENU,veg
Cold Coffee Frappe,331.17,4.98,45.39,14.73,13.91,1.0,McCAFE MENU,veg
Mocha Frappe,397.98,5.49,60.93,15.01,14.0,1.0,McCAFE MENU,veg
Chocolate Oreo Frappe,481.11,6.03,72.51,18.89,15.91,1.0,McCAFE MENU,veg
Strawberry Shake,255.51,3.67,44.07,7.44,6.68,1.0,McCAFE MENU,veg
Chocolate Shake,270.9,4.16,46.76,7.7,6.74,1.0,McCAFE MENU,veg
Mango Smoothie,231.44,3.21,46.25,3.63,2.65,1.0,McCAFE MENU,veg
Mixed Berry Smoothie,235.43,3.33,47.16,3.59,2.64,1.0,McCAFE MENU,veg
Raw Mango Cooler,102.38,0.14,25.18,0.04,0.04,0.0,McCAFE MENU,veg
Mix Berry Cooler,103.85,0.16,25.56,0.04,0.04,0.0,McCAFE MENU,veg
Sweet Lime Beverage,128.21,0.07,31.72,0.08,0.0,0.0,McCAFE MENU,veg
Iced Americano,150.85,3.59,26.01,3.57,2.62,1.0,McCAFE MENU,veg
American Mud Pie Shake,398.19,5.67,64.75,12.77,11.38,1.0,McCAFE MENU,veg
Soft serve cone,85.73,1.99,15.23,1.82,1.31,1.0,McCAFE MENU,veg
McSwirl ChocoDip,160.14,2.71,20.92,7.14,5.25,2.0,McCAFE MENU,veg
Regular Soft Serve: Hot Fudge,121.64,2.25,19.11,4.02,3.01,1.0,McCAFE MENU,veg
Medium Soft Serve: Hot Fudge,197.45,3.49,30.42,6.87,5.16,1.0,McCAFE MENU,veg
Regular Soft Serve: Strawberry,100.99,1.54,19.78,1.77,1.3,1.0,McCAFE MENU,veg
Medium Soft Serve: Strawberry,156.14,2.05,31.77,2.36,1.74,1.0,McCAFE MENU,veg
Regular Soft Serve: Brownie with Hot Fudge,205.26,3.2,35.26,5.45,3.65,2.0,McCAFE MENU,veg
Medium Soft Serve: Brownie with Hot Fudge,311.39,4.65,55.24,7.46,4.71,2.0,McCAFE MENU,veg
Regular Blackforest,237.89,3.22,43.42,5.47,3.66,2.0,McCAFE MENU,veg
Medium Blackforest,429.95,5.42,79.04,9.76,6.47,2.0,McCAFE MENU,veg
Small McFlurry - Oreo,116.36,2.05,18.69,3.7,2.25,1.0,McCAFE MENU,veg
Regular McFlurry - Oreo,209.39,3.58,33.42,6.81,4.07,1.0,McCAFE MENU,veg
American Triple Cheese Chicken,457.94,24.43,37.45,22.65,11.56,2.0,DESSERTS MENU,non-veg
American Triple Cheese Veg,524.69,19.54,56.24,23.16,14.78,3.0,DESSERTS MENU,veg
Cheese Lava Burger,671.06,14.99,74.25,33.48,14.12,3.0,DESSERTS MENU,veg
Chicken Cheese Lava Burger,834.36,27.37,76.03,45.18,17.0,3.0,DESSERTS MENU,non-veg
Chunky Chipotle American Burger Chicken,641.36,39.47,46.24,31.51,9.54,2.0,DESSERTS MENU,non-veg
McSpicy Premium Chicken Burger,622.25,31.49,43.6,34.65,15.55,2.0,DESSERTS MENU,non-veg
McSpicy Premium Veg Burger,634.71,22.44,46.0,39.21,20.46,3.0,DESSERTS MENU,veg
Piri piri Mc Spicy Veg Burger,517.98,11.97,58.87,24.53,6.01,2.0,DESSERTS MENU,veg
Cheesy Veg Nuggets (6pc),252.29,8.48,23.6,13.09,7.53,3.0,DESSERTS MENU,veg
Cheesy Veg Nuggets (9pc),378.43,12.72,35.4,19.63,11.3,3.0,DESSERTS MENU,veg
Small Coca-Cola,109.56,0.0,27.39,0.0,0.0,0.0,GOURMET MENU,veg
Medium Coca-Cola,151.36,0.0,37.84,0.0,0.0,0.0,GOURMET MENU,veg
Large Coca-Cola,217.36,0.0,54.34,0.0,0.0,0.0,GOURMET MENU,veg
Small Fanta Oragne,129.48,0.0,32.37,0.0,0.0,0.0,GOURMET MENU,veg
Medium Fanta Orange,178.88,0.0,44.72,0.0,0.0,0.0,GOURMET MENU,veg
Large Fanta Oragne,256.88,0.0,64.22,0.0,0.0,0.0,GOURMET MENU,veg
Small Thums-up,99.6,0.0,24.9,0.0,0.0,0.0,GOURMET MENU,veg
Medium Thums-up,137.6,0.0,34.4,0.0,0.0,0.0,GOURMET MENU,veg
Large Thums-up,197.6,0.0,49.4,0.0,0.0,0.0,GOURMET MENU,veg
Small Sprite,119.52,0.0,29.88,0.0,0.0,0.0,GOURMET MENU,veg
Medium Sprite,165.12,0.0,41.28,0.0,0.0,0.0,GOURMET MENU,veg
Large Sprite,237.12,0.0,59.28,0.0,0.0,0.0,GOURMET MENU,veg
Coke Float,138.76,1.52,29.22,1.75,1.28,0.0,GOURMET MENU,veg
Fanta Float,151.56,1.52,32.42,1.75,1.28,1.0,GOURMET MENU,veg
Sprite Float,145.16,1.52,30.82,1.75,1.28,1.0,GOURMET MENU,veg
Coke Zero Can,0.99,0.0,0.0,0.0,0.0,0.0,GOURMET MENU,veg
Vedica Natural Mineral Water,0.0,0.0,0.0,0.0,0.0,0.0,GOURMET MENU,veg
Mustard diping sauce,81.18,0.52,7.24,5.57,1.78,3.0,CONDIMENTS MENU,veg
BBQ diping sauce,54.89,0.26,12.36,0.49,0.15,2.0,CONDIMENTS MENU,non-veg
Chilli Sauce,8.07,0.03,1.99,0.01,0.01,1.0,CONDIMENTS MENU,veg
Piri Piri Mix,17.13,0.51,2.5,0.36,0.08,3.0,CONDIMENTS MENU,veg
Tomato Ketchup Sachets,11.23,0.08,2.63,23.45,0.0,1.0,CONDIMENTS MENU,veg
Maple Syrup,86.4,0.0,21.6,0.0,0.0,3.0,CONDIMENTS MENU,veg
Cheese Slice,51.03,3.06,0.72,3.99,2.89,4.0,CONDIMENTS MENU,veg
Sweet Corn,45.08,1.47,7.55,1.0,0.22,1.0,CONDIMENTS MENU,veg
Mixed Fruit Beverage,72.25,0.65,18.0,0.02,0.02,0.0,CONDIMENTS MENU,veg
Hot Wings 2 pc,267.1,12.1,17.1,16.7,6.6,9.0,All Meals,veg
Veg Strips 4pc,280.5,7.0,32.4,13.6,6.3,7.0,All Meals,veg
Hot Wings 4 Pc,534.3,24.2,34.2,33.4,13.3,18.0,All Meals,veg
Popcorn Reg,272.0,15.0,18.0,15.6,6.8,8.0,All Meals,veg
Popcorn Med,374.0,20.6,24.7,21.4,9.4,11.0,All Meals,veg
Popcorn Lrg,578.0,31.8,38.2,33.1,14.5,18.0,All Meals,veg
Boneless Strips 3pc,358.6,27.0,20.7,18.6,8.2,10.0,All Meals,non-veg
Boneless Strips 6pc,717.2,54.1,41.3,37.3,16.3,20.0,All Meals,non-veg
Veg Biryani,512.4,9.7,74.5,19.3,7.7,12.0,All Meals,veg
Classic chicken biryani,586.5,28.4,56.4,27.4,10.3,14.0,All Meals,non-veg
Popcorn Chicken,587.4,23.4,69.7,24.4,10.0,11.0,All Meals,non-veg
"Smoky Chicken
Biryani",509.5,22.4,64.0,18.4,6.5,8.0,All Meals,non-veg
Veg Zinger Burger,623.0,14.5,83.4,25.7,9.5,11.0,All Meals,non-veg
"Chicken
Zinger Burger",563.1,26.6,57.1,26.6,8.2,11.0,All Meals,non-veg
Spicy Zinger,433.2,26.6,46.2,15.6,8.2,11.0,All Meals,non-veg
Classic Veg Crisper,342.2,8.9,54.6,27.6,9.5,12.0,All Meals,veg
Spicy Veg Crisper,367.5,9.2,59.0,18.9,7.0,9.0,All Meals,veg
Classic Non Veg Crisper,450.6,18.7,52.2,18.6,5.5,8.0,All Meals,non-veg
Spicy Non Veg Crisper,393.7,20.7,56.8,9.3,4.0,5.0,All Meals,non-veg
Tandoori Zinger Burger,999.9,27.4,68.5,32.3,9.2,13.0,All Meals,non-veg
"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9,54.0,62.8,29.5,8.7,12.0,All Meals,non-veg
2 Classic veg Crispers,684.4,17.7,54.6,27.6,9.5,12.0,All Meals,veg
2 Classic Chicken Crisper,787.4,41.3,56.8,9.3,4.0,5.0,All Meals,non-veg
Double Down burger,588.7,37.6,33.8,33.7,12.2,16.0,All Meals,non-veg
1 pc,264.7,15.9,12.9,16.6,6.6,9.0,All Meals,non-veg
2 pc,529.4,31.9,25.8,33.2,13.1,19.0,All Meals,non-veg
4 pc,1058.8,63.7,25.8,33.2,13.1,19.0,All Meals,non-veg
6 Pc,1588.2,95.6,38.8,49.8,19.7,28.0,All Meals,non-veg
8 pc Bucket,2117.5,127.4,34.5,44.2,17.5,25.0,All Meals,non-veg
5 Pc Fried Leg,1440.0,89.3,42.6,41.3,16.5,22.0,All Meals,non-veg
10 Pc Fried Leg,2880.0,178.6,85.1,82.6,33.0,45.0,All Meals,non-veg
1 pc,174.9,21.3,8.0,6.4,1.8,4.0,All Meals,non-veg
2 pc,349.7,42.6,16.1,12.8,3.6,7.0,All Meals,non-veg
4 pc,699.4,85.3,32.1,25.5,7.3,14.0,All Meals,non-veg
5 PC,874.3,106.6,20.1,16.0,4.6,9.0,All Meals,non-veg
6 Pc,1049.1,127.9,24.1,19.2,5.5,11.0,All Meals,non-veg
8 pc Bucket,1398.8,170.5,21.4,17.0,4.9,10.0,All Meals,non-veg
"Chick & Share Bucket: Xtra
Large Popcorn",1156.0,63.6,38.2,33.1,14.5,18.0,All Meals,non-veg
"Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5,79.6,32.3,41.5,16.4,23.0,All Meals,non-veg
Chick & Share Bucket: 10 pc Strips,1195.4,90.1,34.5,31.1,13.6,16.0,All Meals,non-veg
"Dips Bucket (12 Pc + 4
Dips)",1434.5,108.1,27.6,24.9,10.9,13.0,All Meals,non-veg
Mingles Bucket,1269.4,62.3,46.8,35.9,15.2,19.0,All Meals,non-veg
"Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",1022.6,34.9,24.4,21.9,4.5,6.0,All Meals,non-veg
Big Eight ( 4pc smoky+ 4pc HC),1758.2,149.0,27.9,30.6,11.2,17.0,All Meals,non-veg
"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4,124.8,41.1,42.2,17.5,23.0,All Meals,non-veg
"12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5,108.1,27.6,24.9,10.9,13.0,All Meals,non-veg
"10 for 550
(10 pc HC)
on Wednesdays",2382.2,143.3,38.8,49.8,19.7,28.0,All Meals,non-veg
"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4,203.0,41.7,43.1,16.6,24.0,All Meals,non-veg
"Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5,172.1,39.5,41.5,17.0,23.0,All Meals,non-veg
"7up Krush
Lime",81.9,20.4,4.1,0.0,0.0,0.0,All Meals,veg
Sparkling Vanilla Blue,120.9,30.1,6.0,0.0,0.0,0.0,All Meals,veg
Virgin Mojito/,120.4,30.1,6.0,0.0,0.0,0.0,All Meals,veg
Regular Fries,224.1,5.0,27.5,10.4,4.9,5.0,All Meals,veg
Medium Fries,298.8,6.7,36.7,13.9,6.5,7.0,All Meals,veg
Large Fries,403.3,9.1,49.6,18.8,8.7,10.0,All Meals,veg
Pepsi Regular,141.9,0.0,36.0,0.0,0.0,0.0,All Meals,veg
Mirinda Regular,181.5,0.0,45.5,0.0,0.0,0.0,All Meals,veg
7 Up Regular,155.1,0.0,38.6,0.0,0.0,0.0,All Meals,veg
Dew Regular,161.7,0.0,40.6,0.0,0.0,0.0,All Meals,veg
Dynamite Spicy Mayo,77.4,0.2,3.4,7.0,1.2,2.0,All Meals,veg
Creamy Veg Mayo,73.9,0.2,2.5,7.0,1.1,2.0,All Meals,veg
Tandoori Masala Mayo,73.8,0.3,3.5,6.5,1.2,2.0,All Meals,veg
Zesty thousand Island Dip,72.3,0.3,3.6,6.3,1.2,2.0,All Meals,veg
"Nashvillle
Dip",30.2,0.1,7.1,0.2,1.0,2.0,All Meals,veg
"Nashville Sauce Bottle
-225 g",150.8,1.1,7.1,0.2,1.0,2.0,All Meals,veg
"Dynamite Spicy Mayo bottle -200
g",774.0,2.0,3.4,7.0,1.2,2.0,All Meals,veg
Pepsi,129.0,0.0,21.8,0.0,0.0,0.0,All Meals,veg
7Up,138.0,0.0,23.4,0.0,0.0,0.0,All Meals,veg
Mirinda,165.0,0.0,27.6,0.0,0.0,0.0,All Meals,veg
Pepsi Pet,215.0,0.0,36.3,0.0,0.0,0.0,All Meals,veg
Pepsi Black,0.0,0.0,0.0,0.0,0.0,0.0,All Meals,veg
Red Bull,112.5,0.0,22.0,0.0,0.0,0.0,All Meals,veg
MARGHERITA REGULAR,138.5,6.8,20.5,3.2,1.9,2.28,All Meals,veg
MARGHERITA MEDIUM,184.3,9.1,21.3,4.3,2.5,3.0,All Meals,veg
MARGHERITA LARGE,256.4,12.1,38.0,6.0,3.5,4.2,All Meals,veg
DOUBLE CHEESE MARGHERITA REGULAR,145.5,6.5,22.6,3.2,2.0,2.4,All Meals,veg
DOUBLE CHEESE MARGHERITA MEDIUM,166.7,1.5,25.9,3.1,2.3,2.76,All Meals,veg
DOUBLE CHEESE MARGHERITA LARGE,279.3,12.5,43.4,6.2,3.9,4.68,All Meals,veg
COUNTRY SPECIAL REGULAR,153.2,6.8,24.0,3.3,1.9,2.28,All Meals,veg
COUNTRY SPECIAL MEDIUM,175.5,7.8,21.5,3.8,2.2,2.64,All Meals,veg
COUNTRY SPECIAL LARGE,268.1,11.9,42.1,5.8,3.4,4.08,All Meals,veg
FARM HOUSE REGULAR,156.5,6.7,24.9,3.4,2.1,2.52,All Meals,veg
FARM HOUSE MEDIUM,184.6,1.9,29.3,4.0,2.5,3.0,All Meals,veg
FARM HOUSE LARGE,253.5,10.8,40.3,5.5,3.4,4.08,All Meals,veg
MEXICAN GREEN WAVE REGULAR,144.5,6.1,23.1,3.0,2.1,2.52,All Meals,veg
MEXICAN GREEN WAVE MEDIUM,181.9,7.7,29.1,3.8,2.6,3.12,All Meals,veg
MEXICAN GREEN WAVE LARGE,253.4,10.8,40.6,5.3,3.6,4.32,All Meals,veg
SPICY TRIPLE TANGO REGULAR,160.1,1.4,25.2,3.3,1.9,2.28,All Meals,veg
SPICY TRIPLE TANGO MEDIUM,175.1,8.1,21.6,3.6,2.0,2.4,All Meals,veg
SPICY TRIPLE TANGO LARGE,254.8,11.8,40.1,5.3,3.0,3.5999999999999996,All Meals,veg
PEPPY PANEER REGULAR,168.8,1.2,24.8,4.5,2.9,3.48,All Meals,veg
PEPPY PANEER MEDIUM,198.4,8.5,29.1,5.3,3.4,4.08,All Meals,veg
PEPPY PANEER LARGE,211.9,11.6,40.0,7.3,4.6,5.52,All Meals,veg
5 PEPPER REGULAR,190.0,8.5,31.6,3.3,1.8,2.16,All Meals,veg
6 PEPPER MEDIUM,161.5,7.5,21.9,2.9,1.6,1.92,All Meals,veg
7 PEPPER LARGE,225.4,10.1,31.5,3.9,2.2,2.64,All Meals,veg
VEGGIE PARADISE REGULAR,156.7,7.2,24.5,3.3,1.9,2.28,All Meals,veg
VEGGIE PARADISE MEDIUM,161.7,7.7,26.2,3.5,2.0,2.4,All Meals,veg
VEGGIE PARADISE LARGE,210.9,9.1,33.0,4.5,2.5,3.0,All Meals,veg
VEGGIE DELUXE PIZZA REGULAR,169.7,1.5,26.0,4.0,2.3,2.76,All Meals,veg
VEGGIE DELUXE PIZZA MEDIUM,175.6,1.8,26.9,4.1,2.4,2.88,All Meals,veg
VEGGIE DELUXE PIZZA LARGE,220.5,9.8,33.7,5.2,3.0,3.5999999999999996,All Meals,veg
VEG EXTRAVAGANZA REGULAR,173.3,8.8,29.2,2.4,1.3,1.56,All Meals,veg
VEG EXTRAVAGANZA MEDIUM,184.2,9.3,31.1,2.5,1.3,1.56,All Meals,veg
VEG EXTRAVAGANZA LARGE,242.6,12.3,40.9,3.3,1.8,2.16,All Meals,veg
CLOUD 9 REGULAR,170.1,7.1,23.3,5.2,3.1,3.72,All Meals,veg
CLOUD 10 MEDIUM,231.2,10.4,31.6,7.0,5.0,6.0,All Meals,veg
CLOUD 11 LARGE,274.2,12.4,37.5,8.3,5.9,7.08,All Meals,veg
CHEF'S VEG WONDER REGULAR,167.6,8.1,26.0,3.4,2.1,2.52,All Meals,veg
CHEF'S VEG WONDER MEDIUM,178.9,8.1,21.8,3.1,2.2,2.64,All Meals,veg
CHEF'S VEG WONDER LARGE,253.4,12.3,39.3,5.2,3.1,3.72,All Meals,veg
CHEESE & BBQ CHICKEN REGULAR,141.8,7.6,21.4,2.9,1.8,2.16,All Meals,non-veg
CHEESE & BBQ CHICKEN MEDIUM,180.5,9.7,21.3,3.6,2.3,2.76,All Meals,non-veg
CHEESE & BBQ CHICKEN LARGE,224.6,12.0,34.0,4.5,2.8,3.36,All Meals,non-veg
CHICKEN SALAMI SPECIAL REGULAR,116.7,7.1,18.3,8.3,1.7,2.04,All Meals,non-veg
CHICKEN SALAMI SPECIAL MEDIUM,209.2,8.4,21.7,9.9,9.2,11.04,All Meals,non-veg
CHICKEN SALAMI SPECIAL LARGE,283.7,11.4,29.4,13.4,12.4,14.88,All Meals,non-veg
BBQ CHICKEN REGULAR,152.1,7.2,23.3,3.3,2.4,2.88,All Meals,non-veg
BBQ CHICKEN MEDIUM,185.5,8.7,28.5,4.1,2.9,3.48,All Meals,non-veg
BBQ CHICKEN LARGE,255.4,12.0,39.2,5.6,4.0,4.8,All Meals,non-veg
CHICKEN FIESTA REGULAR,150.1,6.9,21.0,4.3,2.2,2.64,All Meals,non-veg
CHICKEN FIESTA MEDIUM,211.4,10.0,30.4,6.2,3.2,3.84,All Meals,non-veg
CHICKEN FIESTA LARGE,227.7,10.5,31.9,6.5,3.4,4.08,All Meals,non-veg
CHICKEN LOVERS REGULAR,145.0,7.1,23.1,2.4,1.4,1.68,All Meals,non-veg
CHICKEN LOVERS MEDIUM,172.7,9.1,21.5,2.9,1.6,1.92,All Meals,non-veg
CHICKEN LOVERS LARGE,238.0,12.6,31.9,4.0,2.3,2.76,All Meals,non-veg
CHICKEN MEXICANA REGULAR,156.6,8.0,22.7,3.8,2.5,3.0,All Meals,non-veg
CHICKEN MEXICANA MEDIUM,197.5,10.1,28.6,4.8,3.1,3.72,All Meals,non-veg
CHICKEN MEXICANA LARGE,241.4,12.3,35.0,5.8,3.8,4.56,All Meals,non-veg
CHICKEN GOLDEN DELIGHT REGULAR,170.0,1.5,31.8,1.4,0.9,1.08,All Meals,non-veg
CHICKEN GOLDEN DELIGHT MEDIUM,185.2,8.2,34.7,1.5,1.0,1.2,All Meals,non-veg
CHICKEN GOLDEN DELIGHT LARGE,225.1,9.9,42.1,1.9,1.2,1.44,All Meals,non-veg
CHEFS CHICKEN CHOICE REGULAR,163.9,8.6,23.9,3.1,1.6,1.92,All Meals,non-veg
CHEFS CHICKEN CHOICE MEDIUM,194.3,10.2,28.3,4.4,1.9,2.28,All Meals,non-veg
CHEFS CHICKEN CHOICE LARGE,254.7,13.4,31.1,5.8,2.5,3.0,All Meals,non-veg
CHICKEN DOMINATOR REGULAR,112.5,9.1,21.7,5.5,2.5,3.0,All Meals,non-veg
CHICKEN DOMINATOR MEDIUM,226.7,12.0,28.5,7.2,3.3,3.959999999999999,All Meals,non-veg
CHICKEN DOMINATOR LARGE,399.0,18.3,48.0,14.9,7.9,9.48,All Meals,non-veg
SEVENTH HEAVEN REGULAR,158.4,9.4,19.6,4.1,1.5,1.7999999999999998,All Meals,veg
SEVENTH HEAVEN MEDIUM,224.4,13.3,27.8,6.1,2.2,2.64,All Meals,veg
SEVENTH HEAVEN LARGE,231.9,14.1,29.4,7.1,2.3,2.76,All Meals,veg
NON-VEG SUPREME REGULAR,174.5,7.3,21.8,3.8,2.4,2.88,All Meals,veg
NON-VEG SUPREME MEDIUM,199.2,8.3,31.7,4.3,2.7,3.24,All Meals,veg
NON-VEG SUPREME LARGE,287.9,12.0,45.9,6.3,3.9,4.68,All Meals,veg
CHEESE & PEPPERONI REGULAR,189.0,9.2,23.1,6.7,3.8,4.56,All Meals,veg
CHEESE & PEPPERONI MEDIUM,210.0,10.2,25.6,7.4,4.3,5.159999999999999,All Meals,veg
CHEESE & PEPPERONI LARGE,272.3,13.2,33.2,9.6,5.5,6.6,All Meals,veg
GARLIC BREADSTICKS ,340.3,11.9,57.6,6.9,1.4,1.68,All Meals,veg
STUFFED GARLIC BREADSTICKS ,540.2,20.2,82.4,14.4,6.1,7.319999999999999,All Meals,veg
PASTA - VEG WHITE ,593.2,19.6,80.0,21.4,8.0,9.6,All Meals,veg
TACO MEXICANA - VEG ,321.2,6.8,40.3,15.4,4.4,5.28,All Meals,veg
CALZONE POCKETS - VEG ,593.3,20.6,91.1,16.3,7.5,9.0,All Meals,veg
ZINGY PARCEL VEG ,620.4,16.9,69.5,30.5,15.1,18.119999999999997,All Meals,veg
LAVA CAKE ,323.2,5.1,48.4,12.1,8.6,10.32,All Meals,veg
CHICKEN WINGS ,352.9,35.3,24.5,12.6,4.8,5.76,All Meals,non-veg
CRISPY CHICKEN STRIPS ,461.2,26.7,51.3,13.9,4.3,5.159999999999999,All Meals,non-veg
ZINGY PARCEL CHICKEN ,667.5,19.2,17.3,31.3,14.1,16.919999999999998,All Meals,non-veg
TACO MEXICANA - CHICKEN ,322.6,9.3,34.2,16.5,4.5,5.3999999999999995,All Meals,non-veg
CALZONE POCKETS - CHICKEN ,582.9,18.6,101.0,11.6,4.2,5.04,All Meals,non-veg
Chicken Biryani (1 plate),750,35,85,25,8,4,Non-Veg
Veg Biryani (1 plate),600,12,90,20,6,6,Veg
Butter Chicken & Naan,850,30,70,45,18,3,Non-Veg
Paneer Butter Masala & Naan,780,18,65,50,22,4,Veg
Masala Dosa,450,8,65,16,6,4,Veg
Chole Bhature (2 pcs),650,14,80,28,8,6,Veg
Pav Bhaji (2 pavs),550,10,75,22,12,8,Veg
Pizza (Cheese Burst Slice),350,12,35,18,9,2,Veg
Pizza (Chicken Slice),380,16,35,19,8,2,Non-Veg
Burger (Veg),450,9,55,20,6,3,Veg
Burger (Chicken),520,22,45,26,8,2,Non-Veg
Veg Momos (Plate of 8),320,8,60,4,1,2,Veg
Chicken Momos (Plate of 8),380,18,50,10,3,1,Non-Veg
Fried Momos (Veg),450,7,60,18,4,2,Veg
Samosa (2 pcs),520,6,54,30,8,4,Veg
Vada Pav (2 pcs),580,8,80,24,6,5,Veg
Hakke Noodles,420,8,65,14,3,4,Veg
Chicken Fried Rice,550,18,65,22,5,2,Non-Veg
Manchurian (Dry),350,6,40,18,4,3,Veg
Gulab Jamun (2 pcs),300,4,45,12,6,0,Veg
Rasmalai (2 pcs),320,8,35,16,8,0,Veg
Chocolate Cake (1 slice),400,4,55,18,10,2,Veg
Ice Cream (1 scoop),220,4,25,12,8,0,Veg
French Fries (Medium),380,4,48,18,6,4,Veg
Spring Rolls,280,5,30,16,3,2,Veg
Pani Puri (6 pcs),180,3,32,4,1,2,Veg
Aloo Tikki Burger,480,8,62,20,5,4,Veg
Mutton Rogan Josh,650,35,12,48,15,3,Non-Veg
Fish Fry (2 pcs),420,30,12,28,6,1,Non-Veg
Pasta (White Sauce),550,14,60,28,14,2,Veg
Pasta (Red Sauce),420,10,75,10,2,6,Veg
